Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1991-04-01,375.22,375.22,370.27,371.3,160011117
1991-04-02,371.3,379.5,371.3,379.5,210588895
1991-04-03,379.5,381.56,378.49,378.94,237466667
1991-04-04,378.94,381.88,377.05,379.77,220133333
1991-04-05,379.78,381.12,374.15,375.36,208233339
1991-04-08,375.35,378.76,374.69,378.66,153977778
1991-04-09,378.65,379.02,373.11,373.56,188822222
1991-04-10,373.57,374.83,371.21,373.15,186600000
1991-04-11,373.15,379.53,373.15,377.63,218411117
1991-04-12,377.65,381.07,376.89,380.4,220677784
1991-04-15,380.4,382.32,378.78,381.19,179777778
1991-04-16,381.19,387.62,379.64,387.62,238311111
1991-04-17,387.62,391.26,387.3,390.45,274366673
1991-04-18,390.45,390.97,388.13,388.46,241566673
1991-04-19,388.46,388.46,383.9,384.2,217244444
1991-04-22,384.19,384.19,380.16,380.95,182677784
1991-04-23,380.95,383.55,379.67,381.76,186488889
1991-04-24,381.76,383.02,379.99,382.76,185333333
1991-04-25,382.89,382.89,378.43,379.25,185488889
1991-04-26,379.25,380.11,376.77,379.02,171722216
1991-04-29,379.01,380.96,373.66,373.66,166511111
1991-04-30,373.66,377.86,373.01,375.34,229144439
1991-05-01,375.35,380.46,375.27,380.29,202111099
1991-05-02,380.29,382.14,379.82,380.52,207877784
1991-05-03,380.52,381,378.82,380.8,175722216
1991-05-06,380.78,380.78,377.86,380.08,143455550
1991-05-07,380.08,380.91,377.31,377.32,170322228
1991-05-08,377.33,379.26,376.21,378.51,174711111
1991-05-09,378.51,383.56,378.51,383.25,200511099
1991-05-10,383.26,383.91,375.61,375.74,191922228
1991-05-13,375.74,377.02,374.62,376.76,144022222
1991-05-14,375.51,375.53,370.82,371.62,230988895
1991-05-15,371.55,372.47,365.83,368.57,214566661
1991-05-16,368.57,372.51,368.57,372.19,171622222
1991-05-17,372.19,373.01,369.44,372.39,193566673
1991-05-20,372.39,373.65,371.26,372.28,121677772
1991-05-21,372.28,376.66,372.28,375.35,196244444
1991-05-22,375.35,376.5,374.4,376.19,177011105
1991-05-23,376.19,378.07,373.55,374.96,192311111
1991-05-24,374.97,378.08,374.97,377.49,138488889
1991-05-28,377.49,382.1,377.12,381.94,180388883
1991-05-29,381.94,383.66,381.37,382.79,209388895
1991-05-30,382.79,388.17,382.5,386.96,260488889
1991-05-31,386.96,389.85,385.01,389.83,257822222
1991-06-03,389.81,389.81,386.97,388.06,193322216
1991-06-04,388.06,388.06,385.14,387.74,200500006
1991-06-05,387.74,388.23,384.45,385.09,207288889
1991-06-06,385.1,385.85,383.13,383.63,186955556
1991-06-07,383.63,383.63,378.76,379.43,188411117
1991-06-10,379.43,379.75,377.95,378.57,141911111
1991-06-11,378.57,381.63,378.57,381.05,179566673
1991-06-12,381.05,381.05,374.46,376.65,184600000
1991-06-13,376.65,377.9,376.08,377.63,161833339
1991-06-14,377.63,382.3,377.63,382.29,186611105
1991-06-17,382.3,382.31,380.13,380.13,149144439
1991-06-18,380.13,381.83,377.99,378.59,172444444
1991-06-19,378.57,378.57,374.36,375.09,173822222
1991-06-20,375.09,376.29,373.87,375.42,182200000
1991-06-21,375.42,377.75,375.33,377.75,214788883
1991-06-24,377.74,377.74,370.73,370.94,153266667
1991-06-25,370.94,372.62,369.56,370.65,173011105
1991-06-26,370.65,372.73,368.34,371.59,207966673
1991-06-27,371.59,374.4,371.59,374.4,181200000
1991-06-28,374.4,374.4,367.98,371.16,181966673
1991-07-01,371.18,377.92,371.18,377.92,186088889
1991-07-02,377.92,377.93,376.62,377.47,174766673
1991-07-03,377.47,377.47,372.08,373.33,156200000
1991-07-05,373.34,375.51,372.17,374.08,77677778
1991-07-08,374.09,377.94,370.92,377.94,153700006
1991-07-09,377.94,378.58,375.37,376.11,168688889
1991-07-10,376.11,380.35,375.2,375.74,198100006
1991-07-11,375.73,377.68,375.51,376.97,175477784
1991-07-12,376.97,381.41,375.79,380.25,194188895
1991-07-15,380.28,383,380.24,382.39,179722216
1991-07-16,382.39,382.94,380.8,381.54,203322216
1991-07-17,381.5,382.86,381.13,381.18,217177790
1991-07-18,381.18,385.37,381.18,385.37,223255561
1991-07-19,385.38,385.83,383.65,384.22,211888877
1991-07-22,384.21,384.55,381.84,382.88,165611117
1991-07-23,382.88,384.86,379.39,379.42,177988883
1991-07-24,379.42,380.46,378.29,378.64,176333333
1991-07-25,378.64,381.13,378.15,380.96,162000000
1991-07-26,380.96,381.76,379.81,380.93,141955556
1991-07-29,380.93,383.15,380.45,383.15,151111111
1991-07-30,383.15,386.92,383.15,386.69,187788895
1991-07-31,386.69,387.81,386.19,387.81,185366661
1991-08-01,387.81,387.95,386.48,387.12,189566673
1991-08-02,387.12,389.56,386.05,387.18,180299994
1991-08-05,387.17,387.17,384.48,385.06,142277784
